Titre,Company_name,stage-depart,Duree_du_stage,Convention,Types_de_stage,Prime_de_stage,Niveau_etude,Type_de_formation,Descriptif_de_la_mission
Stage en Infographie ( Rabat ),Elbotola Media SA,09/11/2020,4 mois,Sans Convention,Premier Emploi,Selon profil,Bac+5,Design,"
 Elbotola.com, 1er portail web de l'actualité sportive au Maroc et classé parmi les 2000 sites les plus visités au monde avec plus de 7 millions de visiteurs uniques par mois. 
 Elbotola a également une grande présence sur les réseaux sociaux avec plus de 5M de Fans sur Facebook, plus de 500k abonnés sur Instagram et plus de 30k followers sur Twitter. 
 Elbotola se positionne également en tant qu’agence digitale spécialisée dans le sport en accompagnant des marques dans leurs activations que cela soit digitales ou événementielles. 
 Nous cherchons un stagiaire pour le poste d' Infographiste basé sur Rabat. 
  VOTRE MISSION :  
   
 
 Concevoir et produire des interfaces créatives desktop et mobile, orientées expériences utilisateur 
 Créer et/ou décliner une identité visuelle sur l’ensemble d’un service, d’une application ou d'un support de communication. 
 Produire les éléments graphiques nécessaires à nos concepts créatifs (pictos, logos, illustrations) 
 Créer des prototypes d'interfaces (wireframes). 
 Concevoir les designs de nos postes et storys sur les réseaux sociaux (Facebook, Instagram, Twitter, TikTok) 
 Concevoir le contenu de marque pour nos activations 
 Designer les présentations à destination de nos clients 
 
   
  VOTRE PROFIL :  
   
 
 Vous êtes issu(e) d’une école de Design et vous avez déjà mené à bien des projets de manière indépendante avec une formation Bac+2/Bac+5 
 Vous êtes créatif et passionné par le design d’interface et d’ergonomie. 
 Vous êtes autodidacte et autonome 
 Vous maîtrisez Photoshop et Illustrator 
 Vous ne perdez pas de vue les enjeux business et marketing et savez-vous adapter aux contraintes imposées 
 Vous êtes fan de Football. 
 Et si vous avez des notions de front dev (HTML/CSS/JS) c'est encore mieux ! 
  "
Stage en Marketing Digital - Business Developpement ( Casablanca ),YALLAD,16/11/2020,6 mois,Sans Convention,Stage de fin d'études,Oui,Bac+4,Marketing Digital,"
 Tu as envie de travailler dans une startup en pleine expansion ?<br/>Le succès commence avec toi ! Tu seras sous la responsabilité Kawtar, Brand manager chez YALLAD. En participant au cycle de vente en amont, ton rôle sera crucial pour le développement et l’expansion de YALLAD.<br/>Ton rôle : évangéliser et faire comprendre aux marques à quel point travailler avec des influenceurs via YALLAD est rentable. En effet, sans toi il n’y a aucun RDV décroché et les équipes YALLAD ne pourront pas avancer ! En venant aujourd’hui, tu seras au cœur du réacteur et tu lanceras au mieux ta carrière. 
 TES RESPONSABILITÉS 
 • Mettre en place une stratégie de sourcing en identifiant les leads potentiels et récolter les informations pertinentes. 
 • Qualifier les leads.<br/>• Établir le premier contact.<br/>• Contacter les leads par l’intermédiaire de différents canaux (mail, réseaux sociaux, appel).<br/>• Susciter l’intérêt des leads et faire en sorte qu’ils adoptent notre solution.<br/>• Planifier le premier RDV avec les prospects pour l’équipe sales.<br/>• Atteindre un objectif mensuel de RDV qualifiés.<br/>• Mettre à jour les informations dans nos outils notamment notre CRM (Hubspot).<br/>• Développer des relations de confiance avec tous nos contacts.  "
Stage en Comptabilité Audit et Finance ( Casablanca ),Zaina Emergence,02/11/2020,6 mois,Avec Convention,Stage fonctionnel,Selon profil,Bac+4,Comptabilité Audit et Finance,"
<p xss=""removed""><strong>Présentation de l’entreprise</strong> 
 Zaina est une jeune start-up qui ambitionne de démocratiser et faciliter l’accès aux financements des TPEs et PMEs qui opèrent au Maroc : Nous les accompagnons dans l’identification et l’obtention de financements adaptés à leurs besoins, grâce à un service d’accompagnement digitalisé. 
 Nous avons décroché nos premiers clients été 2019, avec l’objectif de rapidement croître et accompagner un nombre important d’entreprises 
<p xss=""removed""><strong>Description de la mission</strong> 
 Le stagiaire pourra être actif dans tous les domaines mentionnés ci-dessous. Cette liste <strong>n’est pas exhaustive </strong>et pourra être ajustée selon les besoins de notre développement, et votre profil ! 
 - Finance 
 
 Analyser et contribuer au montage des dossiers de nos clients sur la plateforme digitale 
 Participer à l’élaboration du business plan financier 
 Comprendre les différents outils de financements offerts par le marché 
 Echanger avec les différentes parties prenantes 
 
  - Business développement 
 
 Contribuer à la recherche de partenaires et de clients 
 Veille concurrentielle 
 
<p xss=""removed""><strong>Profil recherché</strong> 
 De formation supérieure (école d’ingénieur ou de management), vous disposez de connaissances de base en finance, et êtes très intéressé(e) par l’univers des start-ups. 
 Vous êtes curieux(-se) et savez être force de proposition : nous souhaitons intégrer dans notre équipe dynamique et créative un(e) stagiaire qui saura communiquer et apporter ses idées sur tous les sujets que touche la start-up. 
 Vous possédez : 
 
 Une maîtrise du Français à l’oral et à l’écrit (Parfaite) 
 Une formation Bac + 4 Finance ou équivalente 
 Un excellent sens de télécommunication. 
 Une maitrise des outils bureautiques (Excel, Word, Power Point, Outlook …), &amp; de prises d’appels 
 Une maîtrise des environnements Excel 
 Capable de travailler confortablement dans un environnement à rythme rapide 
 Sens de la présentation et courtoisie 
 
   
 Alors si cette offre vous intéresse, n’hésitez pas à envoyer votre cv via le mail suivant : <a class=""__cf_email__"" data-cfemail=""ef8e8286818eaf958e86818ec18680"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> 
 NB : <strong> Convention de stage obligatoire </strong>  "
Stage en Marketing Digital ( Casablanca ),YALLAD,09/11/2020,6 mois,Sans Convention,Stage de fin d'études,Oui,Bac+4,Marketing Digital,"
 <strong>1. Développement de l’écosystème digital</strong> 
 
 Animation des réseaux sociaux (Instagram, Facebook, linked-in, Youtube) 
 Veille, analyse &amp; création de contenus pour la plateforme (articles, interviews, vidéos…) 
 Gestion d’enquêtes influenceurs (questionnaires) et création de newsletters mensuelles. 
 
 <strong>2. Participation aux campagnes marketing &amp; com’</strong> 
 
 Collaboration avec des start-ups et gestion de campagnes de A à Z 
 Aide à l’organisation d’événements (ex. petit-déjeuner conférence) 
 Soutien des autres activités Marketing : RP, digital, mailing… 
 
 <strong>3. Création d’outils d’aide à la vente</strong> 
 
 Production d’études de cas sur l’influence au Maroc / Afrique 
 Participation au design de concepts pour des opérations d’influence 
 Soutien de l’activité CRM : ex. qualification des contacts BtoB. 
 
<h2>Profil recherché</h2>
 Etudiant(e) BAC+4/+5 (type : école de commerce ou de communication) avec une 1ère expérience marketing et/ou communication de 6 mois minimum, ayant un fort attrait pour le marketing d’influence et le digital. Motivé(e) et dynamique, il/elle n’a pas peur de relever des challenges et de jongler avec des sujets variés !  "
Stage en Vente & Commercialisation - Marrakech ( Marrakesh ),VIGON Systems,15/11/2020,3 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Vente & Commercialisation,"
 VIGON Systems est à la recherche d'un(e) stagiaire pour une durée de 3 à 6 mois à Marrakech. 
 Profil recherché : en Commerce - Marketing - Communication 
 Stage de Fin d’étude : Bac + 3 ou Bac+5 
 <strong>Qualités personnelles:</strong> 
 
 Savoir être, 
 Rigueur, 
 Organisation, 
 Créativité, 
 Attention aux détails 
 Travail en équipe 
 
 <strong>Missions:</strong> 
 
 Participer à la réalisation du plan d’action commercial 
 Prospection (Téléphonique, Mailing, Visites etc.) 
 Participer à la réalisation du plan d’action marketing 
 Participer à la réalisation des différentes offres et packages 
 Participer à la gestion de la communication sur le digital (Community Management, Content Management etc.) 
 Participer à la réalisation des supports de communication 
 
 Possibilité d’embauche et Rémunération sur la base des Réalisations  "
Stage en Growth Manager ( Casablanca ),YALLAD,26/10/2020,6 mois,Sans Convention,Stage de fin d'études,Oui,Bac+4,Marketing Digital,"
 <strong>Tes principales missions seront</strong> : 
 
 
 Lead Generation : identification et le scrapping de données pour capter nos cibles et accompagner nos commerciaux dans leur prospection ; 
 
 
 Automatisation : veille et développement d’outils afin d’améliorer les process d’acquisitions ; 
 
 
 Acquisition campaign : création et pilotage de nos campagnes d’acquisition sur l’ensemble de nos canaux payants existants (LinkedIn Ads, Google Ads…) ; 
 
 
 Maximisation du taux de conversion UX : analyse de datas sur le trafic actuel, les insights sur le site web, optimisation de la conversion sur les formulaires (email, landing page, site web…) ; 
 
 
 Growth Strategy : proposition d’expériences à tester, d’axes stratégiques, source de croissance rapide 
 
 
<section class=""sc-12bzhsi-16 gIJWhm"" data-t=""oj21g4"">
<h2>Profil recherché</h2>
<div class=""sc-11obzva-1 fKjhRQ"">
 <strong>Nous aimerions te rencontrer si</strong> : 
 
 
 Tu es curieux.se, créatif.ve et soucieux.se du détail ; 
 
 
 Tu es motivé.e, rigoureux.se, organisé.e ; 
 
 
 Tu es passionné de web et de Growth Hacking ; 
 
 
 Tu es force de proposition : ici, pas de tabou, nous pratiquons le feedback à un niveau de compétition ! 
 
 
 <strong>Nous apprécions</strong> : 
 
 
 Une précédente expérience dans l’univers de la data ; 
 
 
 Quelques bases en scrapping et des connaissances en marketing ; 
 
 
 Un intérêt fort pour le business et l’univers du bâtiment ; 
 
 
 Ton goût prononcé pour le challenge ; 
 
 
 Tu possèdes un vif intérêt pour le digital et les nouvelles technologies ! 
 
 
</div>
</section>
<section class=""sc-12bzhsi-16 gIJWhm"" data-t=""1tlsnss"">
<h2>Déroulement des entretiens</h2>
<div class=""sc-11obzva-1 fKjhRQ"">
 
 
 1 entretien RH au téléphone suivi d’un rapide exercice ; 
 
 
 1 entretien en physique ou en visio avec Salim Sebti - CEO de YALLAD. 
 
 
 1 dernier échange avec ta manager de mission ! 
 
 
</div>
</section> "
Stage en Développement WEB ( Rabat ),Graviton,02/11/2020,3 mois,Sans Convention,Stage fonctionnel,Oui,Bac+3,Développement WEB,"
<h3><strong>Offre de stage développement Web</strong></h3>
  Fondée par une équipe expérimentée et spécialisée dans les services de digitalisation, GRAVITON est une société jeune et dynamique, qui est devenue en peu de temps, une société leader dans la digitalisation et les solutions de gélocalisation et de gestion de flotte pour l’optimisation des parcs automobiles. 
 Dans le cadre de ses activités en matière de solutions informatiques, GRAVITON offre l'opportunité de stage en développement web pour des développeurs débutants passionnés par les nouvelles technologies pour accompagner notre équipe à la réalisation des projets. 
<h4> Profil recherché : </h4>
 
 Issu(e) d’une formation supérieure Bac +2/+5 fraichement diplômé 
 Passion pour le digital et les nouvelles technologies 
 Enthousiasme pour résoudre les problèmes 
 Esprit d'initiative, forte réactivité et autonomie. 
 Dynamique, polyvalent et curieux 
 Bonnes capacités d'analyse, de synthèse, d'écoute 
 
<h4> Compétences Techniques :  </h4>
 
 Une bonne maitrise en : <strong>PHP, JS, CSS 3, HTML 5, MySQL et JQuery.</strong> 
 
<h4> Langues : </h4>
 
 Une bonne aisance de communication en français 
 Un bon niveau en anglais 
 
<h4> Durée du stage : </h4>
 
 Minimum 3 mois 
 
<h4>Type de contrat : <strong>Stage </strong></h4>
<h4>Ville : Rabat</h4>
    "
Stage en Infographie ( Rabat ),Elbotola Media SA,09/11/2020,4 mois,Sans Convention,Premier Emploi,Selon profil,Bac+5,Design,"
 Elbotola.com, 1er portail web de l'actualité sportive au Maroc et classé parmi les 2000 sites les plus visités au monde avec plus de 7 millions de visiteurs uniques par mois. 
 Elbotola a également une grande présence sur les réseaux sociaux avec plus de 5M de Fans sur Facebook, plus de 500k abonnés sur Instagram et plus de 30k followers sur Twitter. 
 Elbotola se positionne également en tant qu’agence digitale spécialisée dans le sport en accompagnant des marques dans leurs activations que cela soit digitales ou événementielles. 
 Nous cherchons un stagiaire pour le poste d' Infographiste basé sur Rabat. 
  VOTRE MISSION :  
   
 
 Concevoir et produire des interfaces créatives desktop et mobile, orientées expériences utilisateur 
 Créer et/ou décliner une identité visuelle sur l’ensemble d’un service, d’une application ou d'un support de communication. 
 Produire les éléments graphiques nécessaires à nos concepts créatifs (pictos, logos, illustrations) 
 Créer des prototypes d'interfaces (wireframes). 
 Concevoir les designs de nos postes et storys sur les réseaux sociaux (Facebook, Instagram, Twitter, TikTok) 
 Concevoir le contenu de marque pour nos activations 
 Designer les présentations à destination de nos clients 
 
   
  VOTRE PROFIL :  
   
 
 Vous êtes issu(e) d’une école de Design et vous avez déjà mené à bien des projets de manière indépendante avec une formation Bac+2/Bac+5 
 Vous êtes créatif et passionné par le design d’interface et d’ergonomie. 
 Vous êtes autodidacte et autonome 
 Vous maîtrisez Photoshop et Illustrator 
 Vous ne perdez pas de vue les enjeux business et marketing et savez-vous adapter aux contraintes imposées 
 Vous êtes fan de Football. 
 Et si vous avez des notions de front dev (HTML/CSS/JS) c'est encore mieux ! 
  "
Stage en Marketing Digital - Business Developpement ( Casablanca ),YALLAD,16/11/2020,6 mois,Sans Convention,Stage de fin d'études,Oui,Bac+4,Marketing Digital,"
 Tu as envie de travailler dans une startup en pleine expansion ?<br/>Le succès commence avec toi ! Tu seras sous la responsabilité Kawtar, Brand manager chez YALLAD. En participant au cycle de vente en amont, ton rôle sera crucial pour le développement et l’expansion de YALLAD.<br/>Ton rôle : évangéliser et faire comprendre aux marques à quel point travailler avec des influenceurs via YALLAD est rentable. En effet, sans toi il n’y a aucun RDV décroché et les équipes YALLAD ne pourront pas avancer ! En venant aujourd’hui, tu seras au cœur du réacteur et tu lanceras au mieux ta carrière. 
 TES RESPONSABILITÉS 
 • Mettre en place une stratégie de sourcing en identifiant les leads potentiels et récolter les informations pertinentes. 
 • Qualifier les leads.<br/>• Établir le premier contact.<br/>• Contacter les leads par l’intermédiaire de différents canaux (mail, réseaux sociaux, appel).<br/>• Susciter l’intérêt des leads et faire en sorte qu’ils adoptent notre solution.<br/>• Planifier le premier RDV avec les prospects pour l’équipe sales.<br/>• Atteindre un objectif mensuel de RDV qualifiés.<br/>• Mettre à jour les informations dans nos outils notamment notre CRM (Hubspot).<br/>• Développer des relations de confiance avec tous nos contacts.  "
Stage en Comptabilité Audit et Finance ( Casablanca ),Zaina Emergence,02/11/2020,6 mois,Avec Convention,Stage fonctionnel,Selon profil,Bac+4,Comptabilité Audit et Finance,"
<p xss=""removed""><strong>Présentation de l’entreprise</strong> 
 Zaina est une jeune start-up qui ambitionne de démocratiser et faciliter l’accès aux financements des TPEs et PMEs qui opèrent au Maroc : Nous les accompagnons dans l’identification et l’obtention de financements adaptés à leurs besoins, grâce à un service d’accompagnement digitalisé. 
 Nous avons décroché nos premiers clients été 2019, avec l’objectif de rapidement croître et accompagner un nombre important d’entreprises 
<p xss=""removed""><strong>Description de la mission</strong> 
 Le stagiaire pourra être actif dans tous les domaines mentionnés ci-dessous. Cette liste <strong>n’est pas exhaustive </strong>et pourra être ajustée selon les besoins de notre développement, et votre profil ! 
 - Finance 
 
 Analyser et contribuer au montage des dossiers de nos clients sur la plateforme digitale 
 Participer à l’élaboration du business plan financier 
 Comprendre les différents outils de financements offerts par le marché 
 Echanger avec les différentes parties prenantes 
 
  - Business développement 
 
 Contribuer à la recherche de partenaires et de clients 
 Veille concurrentielle 
 
<p xss=""removed""><strong>Profil recherché</strong> 
 De formation supérieure (école d’ingénieur ou de management), vous disposez de connaissances de base en finance, et êtes très intéressé(e) par l’univers des start-ups. 
 Vous êtes curieux(-se) et savez être force de proposition : nous souhaitons intégrer dans notre équipe dynamique et créative un(e) stagiaire qui saura communiquer et apporter ses idées sur tous les sujets que touche la start-up. 
 Vous possédez : 
 
 Une maîtrise du Français à l’oral et à l’écrit (Parfaite) 
 Une formation Bac + 4 Finance ou équivalente 
 Un excellent sens de télécommunication. 
 Une maitrise des outils bureautiques (Excel, Word, Power Point, Outlook …), &amp; de prises d’appels 
 Une maîtrise des environnements Excel 
 Capable de travailler confortablement dans un environnement à rythme rapide 
 Sens de la présentation et courtoisie 
 
   
 Alors si cette offre vous intéresse, n’hésitez pas à envoyer votre cv via le mail suivant : <a class=""__cf_email__"" data-cfemail=""90f1fdf9fef1d0eaf1f9fef1bef9ff"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> 
 NB : <strong> Convention de stage obligatoire </strong>  "
